url,statut_gsc,derniere_exploration,canonical_utilisateur,canonical_google,sitemap,date_publication,route,decision,raison_decision,present_build,present_sitemap_build,canonical_build,robots_build,langue_build,mots_build,inlinks_build,profondeur_hub,titles_dupliques
https://l0g.fr/en/analysis/two-trillion-dollars-in-hundred-dollar-bills/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/two-trillion-dollars-in-hundred-dollar-bills/,,oui,2026-08-16T15:49:23.000Z,/en/analysis/two-trillion-dollars-in-hundred-dollar-bills/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/two-trillion-dollars-in-hundred-dollar-bills/,index,en,1781,2,2,
https://l0g.fr/en/analysis/us-gdp-private-demand-q2-2026/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/us-gdp-private-demand-q2-2026/,,oui,2026-08-02T08:40:00.000Z,/en/analysis/us-gdp-private-demand-q2-2026/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/us-gdp-private-demand-q2-2026/,index,en,1300,3,2,
https://l0g.fr/en/analysis/warsh-fed-without-guidance-uncertainty-cost-july-fomc/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/warsh-fed-without-guidance-uncertainty-cost-july-fomc/,,oui,2026-07-29T23:20:00.000Z,/en/analysis/warsh-fed-without-guidance-uncertainty-cost-july-fomc/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/warsh-fed-without-guidance-uncertainty-cost-july-fomc/,index,en,2321,3,2,
https://l0g.fr/en/analysis/wet-megawatt-europe-water-electricity/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/wet-megawatt-europe-water-electricity/,,oui,2026-08-20T14:00:00.000Z,/en/analysis/wet-megawatt-europe-water-electricity/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/wet-megawatt-europe-water-electricity/,index,en,3211,9,2,
https://l0g.fr/en/analysis/when-climate-turns-state-into-reinsurer/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/when-climate-turns-state-into-reinsurer/,,oui,2026-08-25T15:00:00.000Z,/en/analysis/when-climate-turns-state-into-reinsurer/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/when-climate-turns-state-into-reinsurer/,index,en,2965,4,2,
https://l0g.fr/en/analysis/when-gold-rises-so-does-debt/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/when-gold-rises-so-does-debt/,,oui,2026-08-26T12:00:00.000Z,/en/analysis/when-gold-rises-so-does-debt/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/when-gold-rises-so-does-debt/,index,en,4024,2,2,
https://l0g.fr/en/analysis/who-bought-4-billion-french-mortgages/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/who-bought-4-billion-french-mortgages/,,oui,2026-08-26T16:30:00.000Z,/en/analysis/who-bought-4-billion-french-mortgages/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/who-bought-4-billion-french-mortgages/,index,en,2110,2,2,
https://l0g.fr/en/analysis/why-the-fed-can-make-money-without-printing-but-can-lose-too/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/why-the-fed-can-make-money-without-printing-but-can-lose-too/,,oui,2026-08-18T10:00:00.000Z,/en/analysis/why-the-fed-can-make-money-without-printing-but-can-lose-too/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/why-the-fed-can-make-money-without-printing-but-can-lose-too/,index,en,1142,3,2,
https://l0g.fr/en/analysis/yen-163412-net-short-contracts-before-shock/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/yen-163412-net-short-contracts-before-shock/,,oui,2026-08-02T07:50:00.000Z,/en/analysis/yen-163412-net-short-contracts-before-shock/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/yen-163412-net-short-contracts-before-shock/,index,en,1438,3,2,
https://l0g.fr/en/analysis/zombie-funds-private-valuations/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/zombie-funds-private-valuations/,,oui,2026-07-13T13:58:00.000Z,/en/analysis/zombie-funds-private-valuations/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/zombie-funds-private-valuations/,index,en,807,11,3,
https://l0g.fr/en/glossary/cat-nat/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/cat-nat/,,oui,,/en/glossary/cat-nat/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/cat-nat/,index,en,365,5,2,
https://l0g.fr/en/glossary/cet1/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/cet1/,,oui,,/en/glossary/cet1/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/cet1/,index,en,397,4,2,
https://l0g.fr/en/glossary/niveau-3/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/niveau-3/,,oui,,/en/glossary/niveau-3/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/niveau-3/,index,en,325,8,2,
https://l0g.fr/en/glossary/ofac/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/ofac/,,oui,,/en/glossary/ofac/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/ofac/,index,en,335,5,2,
https://l0g.fr/en/glossary/pseudonymisation/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/pseudonymisation/,,oui,,/en/glossary/pseudonymisation/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/pseudonymisation/,index,en,370,6,2,
https://l0g.fr/en/glossary/reassurance/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/reassurance/,,oui,,/en/glossary/reassurance/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/reassurance/,index,en,353,5,2,
https://l0g.fr/en/glossary/sanctions-secondaires/,"Détectée, actuellement non indexée",,https://l0g.fr/en/glossary/sanctions-secondaires/,,oui,,/en/glossary/sanctions-secondaires/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/glossary/sanctions-secondaires/,index,en,386,5,2,
https://l0g.fr/en/guides/read-a-consumer-credit-securitisation-abs/,"Détectée, actuellement non indexée",,https://l0g.fr/en/guides/read-a-consumer-credit-securitisation-abs/,,oui,2026-07-27T21:25:00.000Z,/en/guides/read-a-consumer-credit-securitisation-abs/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/guides/read-a-consumer-credit-securitisation-abs/,index,en,1580,4,1,
https://l0g.fr/en/guides/read-on-chain-data/,"Détectée, actuellement non indexée",,https://l0g.fr/en/guides/read-on-chain-data/,,oui,2026-06-29T17:30:00.000Z,/en/guides/read-on-chain-data/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/guides/read-on-chain-data/,index,en,1421,10,1,
https://l0g.fr/en/guides/read-private-credit-risk/,"Détectée, actuellement non indexée",,https://l0g.fr/en/guides/read-private-credit-risk/,,oui,2026-06-21T10:00:00.000Z,/en/guides/read-private-credit-risk/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/guides/read-private-credit-risk/,index,en,1360,24,1,
https://l0g.fr/en/guides/read-sovereign-cds/,"Détectée, actuellement non indexée",,https://l0g.fr/en/guides/read-sovereign-cds/,,oui,2026-07-28T08:24:00.000Z,/en/guides/read-sovereign-cds/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/guides/read-sovereign-cds/,index,en,1275,3,1,
https://l0g.fr/en/guides/read-the-balance-of-payments/,"Détectée, actuellement non indexée",,https://l0g.fr/en/guides/read-the-balance-of-payments/,,oui,2026-07-28T08:25:00.000Z,/en/guides/read-the-balance-of-payments/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/guides/read-the-balance-of-payments/,index,en,1338,6,1,
https://l0g.fr/en/publications/digital-euro/,"Détectée, actuellement non indexée",,https://l0g.fr/en/publications/digital-euro/,,oui,2026-08-16,/en/publications/digital-euro/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/publications/digital-euro/,index,fr,801,3,2,
https://l0g.fr/en/publications/great-e-invoicing-toll/,"Détectée, actuellement non indexée",,https://l0g.fr/en/publications/great-e-invoicing-toll/,,oui,2026-08-22,/en/publications/great-e-invoicing-toll/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/publications/great-e-invoicing-toll/,index,en,937,3,1,
